name,group,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,ID
"TITLE: Selecting the Aspect Ratio of a Scatter Plot Based on Its Delaunay Triangulation WORDS: users, use, design, visualizations, interactive, used, new, different, study, technique",Selecting the Aspect Ratio of a Scatter Plot Based on Its Delaunay Triangulation,1,2,6,9,5,7,10,4,8,3,38
"TITLE:  WORDS: used, space, large, users, use, design, visualizations, interactive, new, flow",,9,4,10,6,8,1,7,2,3,5,39
"TITLE: Hybrid-Image Visualization for Large Viewing Environments WORDS: users, use, design, visualizations, interactive, new, space, large, different, study",Hybrid-Image Visualization for Large Viewing Environments,8,5,1,7,9,10,6,4,2,3,40
"TITLE: An Empirically-Derived Taxonomy of Interaction Primitives for Interactive Cartography and Geovisualization WORDS: new, users, use, design, visualizations, interactive, used, space, large, flow",An Empirically-Derived Taxonomy of Interaction Primitives for Interactive Cartography and Geovisualization,6,4,5,9,3,1,7,2,10,8,41
"TITLE: A Design Space of Visualization Tasks WORDS: users, use, design, visualizations, interactive, new, used, different, study, technique",A Design Space of Visualization Tasks,3,4,1,5,6,8,9,2,10,7,42
"TITLE: A Multi-Level Typology of Abstract Visualization Tasks WORDS: volume, users, use, design, visualizations, interactive, space, large, used, new",A Multi-Level Typology of Abstract Visualization Tasks,4,9,8,5,6,2,3,1,7,10,43
"TITLE: Information Visualization and Proxemics: Design Opportunities and Empirical findings WORDS: users, use, design, visualizations, interactive, space, large, used, new, different",Information Visualization and Proxemics: Design Opportunities and Empirical findings,8,4,1,9,7,5,6,2,10,3,44
"TITLE: An Interaction Model for Visualizations Beyond The Desktop WORDS: new, space, large, used, novel, volume, flow, tasks, users, use",An Interaction Model for Visualizations Beyond The Desktop,1,7,10,9,5,3,4,8,6,2,45
"TITLE: A Deeper Understanding of Sequence in Narrative Visualization WORDS: users, use, design, visualizations, interactive, volume, different, study, technique, time",A Deeper Understanding of Sequence in Narrative Visualization,1,2,4,7,5,10,9,8,6,3,46
"TITLE: SketchStory: Telling More Engaging Stories with Data through Freeform Sketching WORDS: users, use, design, visualizations, interactive, volume, flow, tasks, new, used",SketchStory: Telling More Engaging Stories with Data through Freeform Sketching,3,4,7,10,1,2,6,5,9,8,47
"TITLE: Using Concrete Scales: A Practical Framework for Effective Visual Depiction of Complex Measures WORDS: users, use, design, visualizations, interactive, new, space, large, used, different",Using Concrete Scales: A Practical Framework for Effective Visual Depiction of Complex Measures,1,3,6,2,8,7,9,5,10,4,48
"TITLE: StoryFlow: Tracking the Evolution of Stories WORDS: space, large, volume, users, use, design, visualizations, interactive, used, new",StoryFlow: Tracking the Evolution of Stories,5,9,1,6,2,4,8,3,7,10,49
"TITLE: Visual Sedimentation WORDS: new, users, use, design, visualizations, interactive, used, volume, flow, tasks",Visual Sedimentation,2,1,8,4,3,5,9,6,7,10,50
