name,group,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T19,ID
"data, visual, visualization, system, using, analysis, visualizations, method, different, time",An Exploration Framework to Identify and Track Movement of Cloud Systems,5,10,15,4,9,11,1,17,12,3,2,8,19,16,6,13,7,14,18,20,96
"data, visual, users, visualization, analysis, based, system, time, method, techniques",MObjects--A Novel Method for the Visualization and Interactive Exploration of Defects in Industrial XCT Data,1,8,16,4,18,9,3,6,14,2,11,20,15,17,10,13,12,5,7,19,97
"data, visual, visualization, visualizations, analysis, users, system, study, interactive, based",GRACE: A Visual Comparison Framework for Integrated Spatial and Non-Spatial Geriatric Data,4,9,6,1,20,17,7,18,16,12,3,19,14,8,10,5,2,13,11,15,98
"data, system, visual, users, visualization, using, analysis, visualizations, time, based",Noise-Based Volume Rendering for the Visualization of Multivariate Volumetric Data,9,4,16,3,17,14,7,15,8,1,2,12,20,18,5,11,6,10,19,13,99
"data, visual, visualization, users, analysis, system, techniques, based, time, visualizations",Ambient Volume Scattering,5,18,10,3,6,11,7,15,17,2,1,14,20,16,8,4,13,9,12,19,100
"data, using, visualizations, system, visual, based, time, results, visualization, method",Lighting Design for Globally Illuminated Volume Rendering,2,15,20,1,7,8,14,13,9,18,11,4,3,5,12,6,10,17,19,16,101
"data, visual, visualization, analysis, users, study, interactive, techniques, method, different",Generalized Topological Simplification of Scalar fields on Surfaces,10,20,16,14,17,12,5,11,6,8,7,18,4,15,13,1,3,2,9,19,102
"data, visual, users, visualization, system, analysis, study, interactive, method, time",Computing Morse-Smale Complexes with Accurate Geometry,6,13,20,5,8,4,2,11,7,16,1,10,14,17,18,3,15,12,9,19,103
"data, method, visual, users, visualizations, visualization, system, based, analysis, using",Visualization of Temporal Similarity in field Data,2,6,3,4,18,12,9,5,10,1,7,16,13,15,11,17,14,8,19,20,104
"data, system, visual, visualization, method, analysis, visualizations, users, using, present",Visualizing Nuclear Scission through a Multifield Extension of Topological Analysis,13,3,14,10,18,19,1,5,2,4,16,6,17,15,11,7,9,8,12,20,105
"data, visualizations, visual, visualization, system, users, using, analysis, time, techniques",Augmented Topological Descriptors of Pore Networks for Material Science,9,7,8,5,16,1,3,11,19,10,4,12,2,17,15,6,14,20,13,18,106
"data, visual, method, time, visualization, using, based, analysis, use, results",KnotPad: Visualizing and Exploring Knot Theory with Fluid Reidemeister Moves,4,17,7,2,15,1,11,13,19,3,5,16,10,14,20,8,6,12,9,18,107
"data, visual, based, users, visualization, analysis, using, study, interactive, method",Visualization of Electrostatic Dipoles in Molecular Dynamics of Metal Oxides,1,8,5,3,4,18,7,14,10,6,17,11,9,13,19,2,15,16,12,20,108
"data, visual, visualizations, visualization, method, users, based, analysis, using, study",Cumulative Heat Diffusion Using Volume Gradient Operator for Volume Analysis,8,15,7,9,19,5,16,2,6,4,1,17,13,18,11,14,3,12,10,20,109
